SalesDate,StockDate,SalesID,CustID,VehicleID,TerritoryID,SalesAmt,PaymentID,LoanID
01-01-2023,03-09-2022,SO230101,18323,862,6,180000,P10085,
01-01-2023,30-05-2022,SO230102,18322,1013,11,112000,P10086,
01-01-2023,05-09-2022,SO230103,18018,909,4,82450,P10087,LDC2003
01-01-2023,18-09-2022,SO230104,23608,856,10,200000,P10088,LDC2004
01-01-2023,10-08-2022,SO230105,18924,943,12,71000,P10089,LDC2005
01-01-2023,08-10-2022,SO230106,20600,867,1,290000,P10090,
01-01-2023,11-10-2022,SO230107,24677,904,4,79481,P10091,LDC2007
01-01-2023,26-08-2022,SO230108,19150,1015,7,135000,P10092,
01-01-2023,25-09-2022,SO230109,24946,928,5,64500,P10093,LDC2009
01-01-2023,11-07-2022,SO230110,18075,973,2,82000,P10094,LDC2010
01-01-2023,12-07-2022,SO230111,20248,923,8,94800,P10095,
01-01-2023,16-06-2022,SO230112,22763,853,6,185000,P10096,
01-01-2023,26-06-2022,SO230113,20691,993,12,71000,P10097,LDC2013
01-01-2023,04-08-2022,SO230114,18174,893,5,11077,P10098,
01-01-2023,19-07-2022,SO230115,18355,949,8,184000,P10099,LDC2015
01-01-2023,20-10-2022,SO230116,21764,969,7,78000,P10100,
01-01-2023,07-07-2022,SO230117,19796,968,3,80000,P10101,
01-01-2023,23-09-2022,SO230118,19811,999,13,94000,P10102,
01-01-2023,14-08-2022,SO230119,24139,879,12,132738,P10103,LDC2019
01-01-2023,12-06-2022,SO230120,21805,858,9,235000,P10104,LDC2020
01-01-2023,11-10-2022,SO230121,20206,966,4,127000,P10105,
01-01-2023,02-08-2022,SO230122,21072,915,8,74000,P10106,LDC2022
01-01-2023,08-09-2022,SO230123,23036,904,6,79481,P10107,
01-01-2023,26-09-2022,SO230124,19491,860,6,150000,P10108,LDC2024
01-01-2023,19-09-2022,SO230125,24213,951,1,79000,P10109,
01-01-2023,28-09-2022,SO230126,22219,919,2,100000,P10110,LDC2026
01-01-2023,07-08-2022,SO230127,20179,847,1,137000,P10111,
02-01-2023,26-08-2022,SO230128,20961,888,13,59640,P10112,LDC2028
02-01-2023,26-05-2022,SO230129,23714,882,13,113165,P10113,LDC2029
02-01-2023,09-09-2022,SO230130,19280,910,10,110000,P10114,LDC2030
02-01-2023,16-05-2022,SO230131,22580,865,5,210000,P10115,LDC2031
02-01-2023,06-08-2022,SO230132,22511,869,1,70000,P10116,LDC2032
02-01-2023,09-09-2022,SO230133,20804,955,10,83000,P10117,
02-01-2023,30-06-2022,SO230134,21265,965,13,117000,P10118,
02-01-2023,18-10-2022,SO230135,19121,964,11,230000,P10119,
02-01-2023,25-07-2022,SO230136,18247,914,2,95000,P10120,
02-01-2023,23-10-2022,SO230137,20148,878,3,107904,P10121,
