SalesID,CustID,PaymentMethod,PaymentDate,PaymentID,PaymentAmount,LoanID,Bank Name
SO220101,16899,Cash,01-01-2022,P101,109500,,NetCash
SO220102,11020,AutoDebitEMI,01-01-2022,P102,16350,LDB1002,Canara Bank
SO220103,13570,UPI,01-01-2022,P103,43350,LDB1003,Andhra Bank
SO220104,15377,Cash,01-01-2022,P104,96570,,NetCash
SO220105,16543,Cash,01-01-2022,P105,49614,,NetCash
SO220106,14568,DebitCard,01-01-2022,P106,77500,,Canara Bank
SO220107,11475,BankTransferEMI,01-01-2022,P107,24300,LDB1007,Canara Bank
SO220108,12888,DebitCard,01-01-2022,P108,85590,,ICICI
SO220109,17988,UPI,01-01-2022,P109,47983.5,LDB1009,Andhra Bank
SO220110,11713,BankTransfer,01-01-2022,P110,306000,,HDFC
SO220111,12538,DebitCard,01-01-2022,P111,88000,,ICICI
SO220112,14017,CreditCard,01-01-2022,P112,38250,LDB1012,Canara Bank
SO220113,12234,AutoDebitEMI,01-01-2022,P113,53400,LDB1013,HDFC
SO220114,16218,UPI,01-01-2022,P114,20541,LDB1014,ICICI
SO220115,13696,DebitCard,01-01-2022,P115,98520,,ICICI
SO220116,12865,CreditCard,01-01-2022,P116,23250,LDB1016,HDFC
SO220117,15068,BankTransferEMI,01-01-2022,P117,32850,LDB1017,HDFC
SO220118,14206,BankTransfer,01-01-2022,P118,78000,,Andhra Bank
SO220119,14193,BankTransfer,01-01-2022,P119,66912,,ICICI
SO220120,11890,BankTransfer,01-01-2022,P120,128000,,ICICI
SO220121,16371,Cash,01-01-2022,P121,189500,,NetCash
SO220122,14613,UPI,01-01-2022,P122,19002,LDB1022,ICICI
SO220123,16248,CreditCard,02-01-2022,P123,19923.6,LDB1023,HDFC
SO220124,13980,BankTransferEMI,02-01-2022,P124,15808.8,LDB1024,Canara Bank
SO220125,14319,BankTransfer,02-01-2022,P125,69450,,Axis
SO220126,15455,DebitCard,02-01-2022,P126,94970,,Axis
SO220127,12446,CreditCard,02-01-2022,P127,34500,LDB1027,Axis
SO220128,15785,BankTransfer,02-01-2022,P128,83750,,Canara Bank
SO220129,14564,DebitCard,02-01-2022,P129,53500,,Canara Bank
SO220130,15300,DebitCard,02-01-2022,P130,123000,,Andhra Bank
SO220131,16671,DebitCard,02-01-2022,P131,53196,,ICICI
SO220132,12169,UPI,02-01-2022,P132,21900,LDB1032,Axis
SO220133,12907,DebitCard,02-01-2022,P133,48164,,ICICI
SO220134,12260,UPI,02-01-2022,P134,56850,LDB1034,HDFC
SO220135,12598,BankTransfer,02-01-2022,P135,182070,,HDFC
SO220136,12561,AutoDebitEMI,02-01-2022,P136,2723.1,LDB1036,ICICI
SO220137,12967,AutoDebitEMI,02-01-2022,P137,22200,LDB1037,Axis
SO220138,12076,BankTransferEMI,02-01-2022,P138,21750,LDB1038,Canara Bank
SO220139,15749,UPI,02-01-2022,P139,18507,LDB1039,Axis
SO220140,12197,BankTransferEMI,02-01-2022,P140,21936,LDB1040,Canara Bank
SO220141,15218,BankTransferEMI,02-01-2022,P141,12991.2,LDB1041,Andhra Bank
SO220142,13446,BankTransferEMI,02-01-2022,P142,59400,LDB1042,Axis
SO220143,17483,UPI,02-01-2022,P143,29700,LDB1043,ICICI
SO220144,17461,UPI,02-01-2022,P144,57102,LDB1044,Andhra Bank
SO220145,13652,DebitCard,02-01-2022,P145,69520,,ICICI
SO220146,11314,BankTransfer,02-01-2022,P146,125000,,Canara Bank
SO220147,14713,UPI,02-01-2022,P147,33000,LDB1047,Andhra Bank
SO220148,15427,AutoDebitEMI,02-01-2022,P148,34950,LDB1048,ICICI
SO220149,11602,Cash,03-01-2022,P149,72500,,NetCash
SO220150,16654,BankTransferEMI,03-01-2022,P150,38250,LDB1050,Andhra Bank
SO220151,16086,DebitCard,03-01-2022,P151,44500,,Axis
SO220152,17509,DebitCard,03-01-2022,P152,92500,,Canara Bank
SO220153,12650,UPI,03-01-2022,P153,58602,LDB1053,HDFC
SO220154,12864,Cash,03-01-2022,P154,117000,,NetCash
SO220155,11627,DebitCard,03-01-2022,P155,78481,,ICICI
SO220156,17789,CreditCard,03-01-2022,P156,20550,LDB1056,HDFC
SO220157,12956,AutoDebitEMI,03-01-2022,P157,24900,LDB1057,Axis
SO220158,14438,BankTransfer,03-01-2022,P158,76500,,HDFC
SO220159,11093,UPI,03-01-2022,P159,27600,LDB1059,Axis
SO220160,15617,Cash,03-01-2022,P160,145000,,NetCash
SO220161,14034,BankTransferEMI,03-01-2022,P161,28140,LDB1061,Axis
SO220162,13929,BankTransferEMI,03-01-2022,P162,16200,LDB1062,Canara Bank
SO220163,17535,UPI,03-01-2022,P163,32400,LDB1063,Axis
SO220164,15148,CreditCard,03-01-2022,P164,20073.6,LDB1064,HDFC
SO220165,11041,BankTransfer,03-01-2022,P165,54500,,Canara Bank
SO220166,12844,AutoDebitEMI,03-01-2022,P166,23250,LDB1066,HDFC
SO220167,11002,AutoDebitEMI,03-01-2022,P167,22050,LDB1067,Axis
SO220168,13324,CreditCard,03-01-2022,P168,18942,LDB1068,Andhra Bank
SO220169,16696,DebitCard,03-01-2022,P169,75000,,HDFC
SO220170,13024,Cash,03-01-2022,P170,48164,,NetCash
SO220171,12807,DebitCard,03-01-2022,P171,54000,,HDFC
SO220172,16252,BankTransfer,04-01-2022,P172,157500,,Andhra Bank
SO220173,15731,DebitCard,04-01-2022,P173,82000,,HDFC
SO220174,11035,BankTransfer,04-01-2022,P174,125000,,Axis
SO220175,14880,Cash,04-01-2022,P175,93000,,NetCash
SO220176,17658,AutoDebitEMI,04-01-2022,P176,41113.8,LDB1076,Axis
SO220177,11957,CreditCard,04-01-2022,P177,39891,LDB1077,HDFC
SO220178,17504,BankTransferEMI,04-01-2022,P178,33199.5,LDB1078,Axis
SO220179,11167,Cash,04-01-2022,P179,72500,,NetCash
SO220180,16969,UPI,04-01-2022,P180,18852,LDB1080,ICICI
SO220181,12405,UPI,04-01-2022,P181,20850,LDB1081,HDFC
SO220182,17512,BankTransfer,04-01-2022,P182,177500,,HDFC
SO220183,13252,Cash,04-01-2022,P183,113000,,NetCash
SO220184,17806,Cash,04-01-2022,P184,76000,,NetCash
SO220185,14096,AutoDebitEMI,04-01-2022,P185,22509,LDB1085,Andhra Bank
SO220186,16055,BankTransferEMI,04-01-2022,P186,29175,LDB1086,HDFC
SO220187,17276,AutoDebitEMI,04-01-2022,P187,14599.2,LDB1087,ICICI
SO220188,16174,UPI,04-01-2022,P188,21900,LDB1088,Canara Bank
SO220189,15613,Cash,04-01-2022,P189,197500,,NetCash
SO220190,11238,BankTransferEMI,04-01-2022,P190,2723.1,LDB1090,ICICI
SO220191,12904,CreditCard,04-01-2022,P191,10350,LDB1091,HDFC
SO220192,13252,BankTransfer,04-01-2022,P192,178000,,Canara Bank
SO220193,14262,BankTransferEMI,04-01-2022,P193,58752,LDB1093,Andhra Bank
SO220194,17234,UPI,04-01-2022,P194,21300,LDB1094,Canara Bank
SO220195,14170,BankTransfer,04-01-2022,P195,63340,,Canara Bank
SO220196,13072,Cash,04-01-2022,P196,108302,,NetCash
SO220197,15171,BankTransferEMI,05-01-2022,P197,54621,LDB1097,Axis
SO220198,13002,CreditCard,05-01-2022,P198,54450,LDB1098,Andhra Bank
SO220199,17919,BankTransferEMI,05-01-2022,P199,53400,LDB1099,HDFC
SO220200,12589,UPI,05-01-2022,P200,33000,LDB1100,ICICI
SO220201,15623,AutoDebitEMI,05-01-2022,P201,54621,LDB1101,Axis
SO220202,14159,BankTransfer,05-01-2022,P202,83250,,Canara Bank
SO220203,14816,UPI,05-01-2022,P203,27153,LDB1103,ICICI
SO220204,11211,UPI,05-01-2022,P204,69300,LDB1104,Canara Bank
SO220205,13867,DebitCard,05-01-2022,P205,93000,,HDFC
SO220206,15838,BankTransfer,05-01-2022,P206,9077,,ICICI
SO220207,17530,DebitCard,05-01-2022,P207,74000,,Andhra Bank
SO220208,14977,UPI,05-01-2022,P208,23250,LDB1108,Andhra Bank
SO220209,12308,Cash,05-01-2022,P209,112500,,NetCash
